,CLORO LIBRE,PH,TURBIDEZ,Temperatura agua,Volumen piscina,Superficie piscina,PROFUNDIDAD_MEDIA_EST,Horas filtracion diarias,Horas dosificación hipo,Porcentaje dosificación hipoclorito,Tiempo lavado /enjuague filtro,TOTAL_CLORO_QUIMICO_DOSIS,TOTAL_CLORO_QUIMICO_LAG1,TOTAL_CLORO_QUIMICO_SUM3D,CLORO_LIBRE_LAG1,PH_LAG1,DIAS_DESDE_ULTIMA_MEDICION,HORA_MEDICION,MES,ES_VERANO,ES_FIN_DE_SEMANA,Caudal del motor,Diametro filtro
Tiempo lavado /enjuague filtro,0.0004923281929259836,0.019982851767516612,0.0021392139527823787,0.056227871365611484,0.014729872298045463,0.014631840407584655,0.026363575632260557,0.03208113436678392,-0.05202873081272017,0.025098171315891607,1.0,-0.003702403848263758,-0.0036399222102112922,-0.004795212432150416,0.006350760161139815,0.022215540609116943,-0.030623654059878328,0.057400534763396203,-0.013733617070283786,0.026740725778064543,-0.003685331563769859,-0.0019971183358214275,0.004356690994038511
TOTAL_CLORO_QUIMICO_DOSIS,-0.013202572371074885,-0.02137034898001942,0.008120318131528673,0.013491240298650304,0.0034595609782600545,0.005878411956487784,0.02327427106207214,-0.013779043694475204,0.0274807195586476,0.023473822369066102,-0.003702403848263758,1.0,0.03198399345980132,0.5832030698043045,-0.017219713378594643,-0.013151985734955634,-0.02152372290015168,-0.017449763120413405,0.00947518893944425,0.03925786147034646,-0.0030898086409951843,0.014282655397368133,0.020486038780841685
TOTAL_CLORO_QUIMICO_LAG1,-0.005711612748058703,-0.01598771086112899,0.005834042593685165,0.013128789766472618,0.0034742866145097725,0.005889362318761419,0.02328636261415337,0.03904689515336131,0.04769825015633443,0.01792405235564983,-0.0036399222102112922,0.03198399345980132,1.0,0.601748064387036,-0.013280393314368467,-0.02135817677722297,-0.026496934517602804,-0.017635981558942828,0.011494508698123844,0.039827777836133144,0.004785725765668752,0.01429290281820857,0.02049284195627179
TOTAL_CLORO_QUIMICO_SUM3D,-0.008285098448693674,-0.029092684392707485,0.013018649958315627,0.02268326320129959,0.005932974275613752,0.010066916214644154,0.03982300345915758,0.05120865242082298,0.07123956999341119,0.0321951542431455,-0.004795212432150416,0.5832030698043045,0.601748064387036,1.0,-0.020494977631954753,-0.028592661319973702,-0.0425857496396082,-0.028311653810580074,0.02060761796062594,0.07181203527430845,0.010700898511672852,0.02454074992294823,0.035111945063562
CLORO_LIBRE_LAG1,0.5047810170088424,0.03812365663868604,-0.0080950556839067,-0.0339889947442871,-0.17838732989975326,-0.1639602258646787,-0.09462151635921467,-0.09897922850272761,-0.1941957962907765,-0.14923653887482222,0.006350760161139815,-0.017219713378594643,-0.013280393314368467,-0.020494977631954753,1.0,0.030856224461088152,-0.02556080540892985,-0.023703134651795573,0.15918620136074593,0.054758509160399364,0.03625625000978329,-0.1471642996848792,-0.10201621068628351
PH_LAG1,0.02683593012743197,0.622368776358813,-0.00548849496667119,-0.0749011772500828,-0.02262292290761595,-0.016557853384767993,0.008384556453055124,-0.12218805065161069,-0.16344398572338173,-0.11948683768332151,0.022215540609116943,-0.013151985734955634,-0.02135817677722297,-0.028592661319973702,0.030856224461088152,1.0,0.10421624271114806,0.15632402620126634,-0.04333523049183251,-0.17496592384099738,-0.05315925352083807,-0.047543608318418654,0.02444341688035104
DIAS_DESDE_ULTIMA_MEDICION,-0.08976002312587018,0.12365883306518567,0.01694876257210971,-0.13794264730154332,-0.05875159453029794,-0.059519883470492946,-0.03942442198023945,-0.18293839282892987,-0.27282146193205703,-0.166492807458762,-0.030623654059878328,-0.02152372290015168,-0.026496934517602804,-0.0425857496396082,-0.02556080540892985,0.10421624271114806,1.0,0.21895670326037192,-0.20764037400939037,-0.5485777979120242,-0.1765422537228098,-0.03247864240590562,-0.03603871811574332
HORA_MEDICION,-0.020367116015611968,0.1592748130801428,0.10787321626289989,-0.11562910380653048,-0.08839172712758386,-0.0536348639959733,-0.03646650285543524,-0.3248297597459237,-0.39129899859565853,-0.16180538328942642,0.057400534763396203,-0.017449763120413405,-0.017635981558942828,-0.028311653810580074,-0.023703134651795573,0.15632402620126634,0.21895670326037192,1.0,-0.11888132281637329,-0.3831249247677616,-0.1502842701648635,-0.030193520206186278,0.03211756302103591
MES,0.1729037681083938,-0.03360035244423209,-0.00815333927953477,0.07670320796906102,0.010613421134836014,0.011219637118784135,-0.005772385102808907,-0.35527049116066717,-0.04475380846804374,0.010181139192234708,-0.013733617070283786,0.00947518893944425,0.011494508698123844,0.02060761796062594,0.15918620136074593,-0.04333523049183251,-0.20764037400939037,-0.11888132281637329,1.0,0.3111407536305024,0.08720147741493973,0.004475157205229107,0.00811578902211376
ES_VERANO,0.06235718938417713,-0.17618300356669175,0.04584547592726594,0.27155374986430525,0.03448646347295453,0.035642318228594726,-0.006337124673858334,0.608474320061627,0.5789439385408105,0.30409466396891,0.026740725778064543,0.03925786147034646,0.039827777836133144,0.07181203527430845,0.054758509160399364,-0.17496592384099738,-0.5485777979120242,-0.3831249247677616,0.3111407536305024,1.0,0.269683957857217,0.014638414438460557,0.022903625933573365
ES_FIN_DE_SEMANA,0.027167382569458845,-0.060989865230702794,0.02896706314520976,0.0441938896101832,-0.004201262727787281,0.00626546523891972,-0.07869071102065811,0.30789788166487253,0.1999498134002803,0.16084919808133788,-0.003685331563769859,-0.0030898086409951843,0.004785725765668752,0.010700898511672852,0.03625625000978329,-0.05315925352083807,-0.1765422537228098,-0.1502842701648635,0.08720147741493973,0.269683957857217,1.0,0.040258403349690323,0.03496452552368324
Caudal del motor,-0.14696355399544997,-0.04737265941598281,-0.043377386858545364,0.018918185049439953,0.7302191783242251,0.7251992640823701,0.37405239518085165,0.0766527098514352,0.20493983322625986,0.27326501230390843,-0.0019971183358214275,0.014282655397368133,0.01429290281820857,0.02454074992294823,-0.1471642996848792,-0.047543608318418654,-0.03247864240590562,-0.030193520206186278,0.004475157205229107,0.014638414438460557,0.040258403349690323,1.0,0.5966876798369491
Diametro filtro,-0.10166490239655031,0.024615614524706356,0.024667076534875744,0.012879778397003888,0.5710360055720144,0.5902461507296966,0.3082853973423704,0.04101044554436693,0.13994976779344323,0.26499759179011706,0.004356690994038511,0.020486038780841685,0.02049284195627179,0.035111945063562,-0.10201621068628351,0.02444341688035104,-0.03603871811574332,0.03211756302103591,0.00811578902211376,0.022903625933573365,0.03496452552368324,0.5966876798369491,1.0
